OBJECTID,DPTOMPIO,CODIGO_VER,NOM_DEP,NOMB_MPIO,NOMBRE_VER,VIGENCIA,FUENTE,DESCRIPCIO,SEUDONIMOS,AREA_HA,COD_DPTO,ShapeSTArea,ShapeSTLength
13810,54128,54128054,NORTE DE SANTANDER,CÁCHIRA,SARDINA BAJA,2009,POT,NULL,NULL,1341.88658713,54,13746863.4789311,20252.7832354102
13811,54128,54128050,NORTE DE SANTANDER,CÁCHIRA,SAN LUIS,2009,POT,NULL,NULL,481.54579721,54,4932574.90037684,10403.9924823551
13812,54128,54128053,NORTE DE SANTANDER,CÁCHIRA,SANTA ROSA,2009,POT,NULL,NULL,750.43331821,54,7687224.1886508,13518.6322365783
13813,54128,54128036,NORTE DE SANTANDER,CÁCHIRA,MONTENEGRO,2009,POT,NULL,NULL,1015.29286058,54,10399472.2995097,15334.5360053017
13814,54128,54128034,NORTE DE SANTANDER,CÁCHIRA,MARAVILLAS,2009,POT,NULL,NULL,635.65044409,54,6510770.24190137,14103.4440768723
13815,23001,23001005,CÓRDOBA,MONTERÍA,ALTO ROSARIO,2011,POT,NULL,NULL,876.52502398,23,9015525.84558455,17504.4429005642
13816,23001,23001148,CÓRDOBA,MONTERÍA,TRES TUSAS,2011,POT,NULL,NULL,740.02718739,23,7608686.51043724,16691.6983863596
13817,23001,23001029,CÓRDOBA,MONTERÍA,EL CERRITO,2011,POT,NULL,NULL,2977.01011387,23,30637131.2492545,30504.2307682531
13818,23001,23001037,CÓRDOBA,MONTERÍA,EL FLORAL,2011,POT,NULL,NULL,2893.32527234,23,29787618.9672387,42410.3817033309
13819,23001,23001089,CÓRDOBA,MONTERÍA,LETICIA,2011,POT,NULL,NULL,1480.37604422,23,15229061.1708454,20944.2759826948
13820,23001,23001145,CÓRDOBA,MONTERÍA,TRES PALMAS,2011,POT,NULL,NULL,2928.39616344,23,30098599.0919751,50454.0328482052
13821,20400,20400033,CESAR,LA JAGUA DE IBIRICO,SAN ISIDRO,2000,PBOT MUNICIPIO DE LA JAGUA DE IBIRICO,NULL,NULL,918.53481289,20,9501649.07362795,12504.3551010584
13822,20400,20400027,CESAR,LA JAGUA DE IBIRICO,MANIZALES BAJO,2000,PBOT MUNICIPIO DE LA JAGUA DE IBIRICO,NULL,NULL,688.03850556,20,7117210.70723879,13266.2373489564
