area;rooms;title;property_id;stratum;offer;garages;baths;price;property_type;location;location_main;new;longitude;latitude;localidadgenerada
182;3;Apartamento en Arriendo;2b318863-1911-44e7-a612-ba4ffcd310e4;Estrato 5;Arriendo;2;3;2758100;Apartamento;POINT (-74.051 4.685);Chico norte;FALSO;-74,051;4,685;Localidad Chapinero
56;2;Apartamento en Arriendo;9daa9d8c-2f99-4e14-8d1b-2d6925468ac4;Estrato 3;Arriendo;1;2;1600000;Apartamento;POINT (-74.1396974 4.652305999999999);NoIdentificado;FALSO;-74,1396974;4,652306;Localidad Kennedy
49;3;Apartamento en Arriendo;750baa94-f4be-428e-ae0b-c4c8b351c6ea;Estrato 3;Arriendo;0;1;1100000;Apartamento;POINT (-74.1589449 4.690890899999999);NoIdentificado;FALSO;-74,1589449;4,6908909;Localidad Fontibón
60;2;Apartamento en Arriendo;143e1b07-a2db-4c9a-bdb6-57543b500451;Estrato 4;Arriendo;1;1;1450000;Apartamento;POINT (-74.1069383 4.6721363);NoIdentificado;FALSO;-74,1069383;4,6721363;Localidad Engativá
117;3;Apartamento en Arriendo;9fed263a-fbc6-4d67-93a3-3377ac3e7c3b;Estrato 5;Arriendo;2;3;4750000;Apartamento;POINT (-74.0348304029663 4.714988181749606);Cedritos;FALSO;-74,0348304;4,714988182;Localidad Usaquén
50;2;Apartamento en Arriendo;47517056-512c-4230-b3f0-5f21094a2e82;Estrato 3;Arriendo;0;1;870000;Apartamento;POINT (-74.11738780733418 4.584207948080147);NoIdentificado;FALSO;-74,11738781;4,584207948;Localidad Rafael Uribe Uribe
55;3;Apartamento en Arriendo;21ea2e2c-a67d-42d9-8477-2af99d606a26;Estrato 3;Arriendo;0;1;1150000;Apartamento;POINT (-74.1066288 4.7478821);Suba;FALSO;-74,1066288;4,7478821;Localidad Suba
54;2;Apartamento en Arriendo;36b7617a-8169-4d89-ba50-2b2c9a965bc5;Estrato 3;Arriendo;0;1;900000;Apartamento;POINT (-74.0899766 4.593621499999999);NoIdentificado;FALSO;-74,0899766;4,5936215;Localidad Los Mártires
42;3;Apartamento en Arriendo;03beaea4-9623-4f7f-8822-1d4a04c4aaa0;Estrato 3;Arriendo;0;2;970000;Apartamento;POINT (-74.16843829999999 4.6951334);NoIdentificado;FALSO;-74,1684383;4,6951334;Localidad Fontibón
48;2;Apartamento en Arriendo;6199e17b-23ad-4d5f-8378-666d9fd15af6;Estrato 3;Arriendo;0;1;1450000;Apartamento;POINT (-74.1049154 4.6932081);NoIdentificado;FALSO;-74,1049154;4,6932081;Localidad Engativá
